Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Free TAFE,Job Trainer,Concession,Government subsidised fee,Non-subsidised fee,Currency,Currency_Time,Course_Delivery_Mode,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
VOC,Melbourne Polytechnic,,Certificate II in Sports Turf Management,Business & Commerce & Finance & Accounting,350,350,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/farm-chemical-users-course/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate II in Sports Turf Management,Business & Commerce & Finance & Accounting,202,202,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/lea-safe-working-practice-swp-tutorial/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate II in Sports Turf Management,Business & Commerce & Finance & Accounting,276,276,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/lea-licensed-electrician-practical-lep-assessment/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate II in Sports Turf Management,Business & Commerce & Finance & Accounting,,,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/introduction-to-tractors-course-1/,English,A,,,Australia,,,,,,
BA,Melbourne Polytechnic,,Bachelor of Agriculture and Technology,Agriculture,,21000,,,,,,AUD,Years,Normal,3,Years,Yes,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/bachelor/agriculture-and-technology/equine-studies-local-students/,English,A,"Important Note: This degree will not be taking new enrolments for 2021. .Turn your love of horses into a career .Melbourne Polytechnic’s Bachelor of Agriculture and Technology - Equine Studies (Local Students) opens the gate to a career working with horses. Australia’s horse industry contributes $6.3 billion a year to our economy.  This major couples a rounded education in agriculture with an equine specialisation. At Melbourne Polytechnic, our sights are firmly set on the future of farming and sustainability and you’ll learn modern and dynamic skills and techniques to bring Australia’s horse industry forward. .Industry experience to put you ahead of the herd .Melbourne Polytechnic’s Equine Studies major aims to get you industry-ready. You’ll cover a concise introduction to the Australian and international industry, the practical skills required for industry employment, anatomy & physiology, behaviour, nutrition, reproduction, health, and much more. Every day will be different on our commercial training farms.  As well as classroom and online learning, you will have access to our established 300 hectare thoroughbred stud farm, Northern Lodge at Eden Park. You will also undertake two industry placements as part of the qualification. This degree is an applied qualification in equine studies that will put you at the forefront of specialist knowledge and provide you with practical skills ready for the demands of industry.",,Australia,Yes,Yes,,,Yes,
VOC,Melbourne Polytechnic,,Certificate IV in Allied Health Assistance,English,,,250,250,855,3650,8150,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iv/allied-health-assistance/,English,A,"A varied career in healthcare .Allied health assistants work under the direct supervision of health care professionals (such as doctors and nurses) to provide therapeutic and program-related support in a variety of assistant roles such as occupational therapy, physiotherapy, podiatry, speech pathology and nutrition. Melbourne Polytechnic’s Certificate IV in Allied Health Assistance will build on existing skills and knowledge to advance your career in allied health. Demand for allied health assistants is strong.  By 2023 the healthcare and social assistance industry is expected to employ over 1.9 million people, so there are strong prospects for a varied and rewarding career in allied health assistance. .Build on what you already know .Melbourne Polytechnic’s Certificate IV in Allied Health Assistance is ideal for those already working in allied health or who have completed the Certificate III in Allied Health Assistance. Advancing your existing skills and knowledge, you will learn to assist allied health professionals such as occupational therapists or physiotherapists in a number of health care areas, working across all age groups. Melbourne Polytechnic offers dedicated, fully-equipped spaces to learn new techniques and improve existing skills under the supervision of industry-qualified, experienced teaching staff. You will undertake a supervised health sector work placement, with a minimum 120 hours, for real-world experience before you graduate.",,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate III in Auslan,,,,,570,495,1850,14650,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/auslan/,English,A,"Advance your Auslan skills .Build on the Auslan skills your learned in the Certificate II in Auslan PSP20218 and prepare for advanced Auslan courses. With only 67% of Deaf people able to access an interpreter when they need one, Auslan skills are in demand. Melbourne Polytechnic’s Certificate III in Auslan continues the only accredited pathway to learn Auslan in Victoria. This course is a prerequisite to Auslan interpreter training, but is also appropriate for friends, colleagues and family members of Deaf and hard of hearing people who would like to increase their accessibility and communication abilities. .Learn to converse in personal and professional settings .Melbourne Polytechnic’s Certificate III in Auslan PSP30218 is a pre-vocational course aiming to further develop your Auslan skills. Completion of this qualification will allow you to converse in Auslan in personal and professional settings. You will understand and be able to use Deaf protocol and customs in your interactions. You will also develop an understanding of the linguistics of Auslan in contrast to English. Melbourne Polytechnic has a long history within the disability sector, and as Victoria’s sole provider of this accredited pathway to learning Auslan, you will have opportunities to participate in Deaf community-based activities and events with our industry partners.",Sport/Recreation Officer/ Disability Support Worker,Australia,,,,,Yes,
VOC,Melbourne Polytechnic,,Certificate III in Locksmithing,Engineering,,,,,2655,7450,24800,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/locksmithing/apprenticeship/,English,A,"MEM30819 Certificate III in Locksmithing is only being offered to complete existing apprentices. .Join a dynamic, high-demand industry .Equip yourself with the skills to succeed in the constantly evolving locksmith industry. Completed as part of an apprenticeship, Melbourne Polytechnic’s Certificate III in Locksmithing provides you with practical, hands-on training in the latest locksmithing technologies and methods. The global home security market was set to exceed $32 billion in 2019 and continue growing. Keep pace with the newest innovations in this space with this industry-approved course. .Learn in real world scenarios .Get a good grasp of day-to-day life as a locksmith with our practical learning approaches. You’ll practice real world scenarios using the machines, software and techniques used by locksmiths everyday. At Melbourne Polytechnic, our teachers are experienced, practicing locksmiths who can guide you as you practice in a fully equipped workshop and use industry software such as Instacode. Connect with the locksmithing industry by joining our community and embarking on a course recognised by the Locksmith Guild of Australia and the Master Locksmiths Association of Australasia.",Electronic Access System Engineer/ Alarm System Engineer/ CCTV System Engineer/ Vault Technician/ Automotive Locksmith/ Safe Technician/ Domestic Locksmith/ Commercial Locksmith,Australia,,,,,Yes,
DIP,Melbourne Polytechnic,,Diploma of Marketing and Communication,Business & Commerce & Finance & Accounting,7000,,,,1085,4800,6750,AUD,Years,Normal,6,Months,Yes,,Year 12,IELTS,ATAR ,,5.5,,https://www.melbournepolytechnic.edu.au/study/diploma/marketing-and-communication/,English,A,"Learn to market anything .You’ll learn the practical application of contemporary marketing theory in Melbourne Polytechnic’s Diploma of Marketing and Communication. Benefit from our strong reputation within the industry and increase your employability in a range of entry-level marketing roles. You’ll graduate with strong theoretical knowledge and practical work experience. With a predicted 53,000 job openings for marketing professionals in the next five years, it’s a great time to level up your skills. .Identify trends and find opportunities .If you’ve ever wondered how marketers identify trends and opportunities or know how to design effective marketing communications, you’ll cover all of these interesting topics when you study Melbourne Polytechnic’s Diploma of Marketing and Communication. Our course provides an introduction to the fundamental concepts of marketing, including specialist marketing theory and how it applies in today’s commercial world. Melbourne Polytechnic teacher are industry-experienced professionals, who will share their knowledge and network of contacts. You’ll learn about all modes of marketing and communications, from outdoor to digital. Using our innovative model of partnerships with local businesses, you’ll get to apply what you learn in theory to real-life business situations, giving you invaluable experience before you’ve graduated.",Communications and Research Coordinator/ Assistant Product Manager/ Assistant Marketing Manager,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Individual Support,,,,250,250,665,2700,7950,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/individual-support/aged-care/,English,A,"A career with meaning .Aged care workers play a significant role in Australian society, working in a field that cares for and gives dignity and meaning to the lives of older people. With an ageing population, it is projected that job opportunities in aged care in Australia will almost double over the next five years, with nearly 180,000 openings predicted. People with empathy, patience, a professional attitude and a drive to improve lives are in high demand. Graduates from Melbourne Polytechnic’s Certificate III in Individual Support and can expect strong career prospects in this consistently growing sector. .Learn vocational skills .Melbourne Polytechnic’s Certificate III in Individual Support is designed to provide quality training in individual support across the ageing and aged care sector with a program delivered by highly experienced staff in hands-on settings. You will also develop the professional and personal qualities required to provide high quality care to those who need it most. Melbourne Polytechnic provides fully-equipped practical learning spaces, including a state-of-the-art simulation room. Our industry connections mean that you will also receive practical experience with a supervised industry placement, so you’re ready to enter the industry with confidence.",Aged Carer/ Disability Support Worker,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate III in Screen and Media,Mass Communication & Media,,,,,755,3150,5000,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/screen-and-media/,English,A,"Get a head start in the media industry .Melbourne Polytechnic’s Certificate III in Screen and Media is an accredited course for disadvantaged young people who want to gain skills in radio and film production. Australia’s media industry is growing rapidly and is predicted to be worth $43.7 billion by the end of 2025. Our course will give you skills to take your first step into the creative and booming world of media. .Practical creative skills and personalised support .Melbourne Polytechnic has partnered with Youthworx to develop and provide this unique course. You will work with a mixed team of professional media-makers, experienced teachers and youth workers. This support will help you towards self-determination and a sustainable livelihood. In this course, you will learn about video production, radio broadcasting, and photography from a dedicated media training studio. Once a week, you and your classmates will present a radio show for SYN 90.7 FM. You will also work on real-life film and photography projects to get more hands-on experience in media creation.",Television Set Assistant/ Radio Station Assistant/ Assistant Website Designer/ Film Set Assistant/ Interactive Media Author Assistant/ Digital Artist Assistant,Australia,,Yes,,,Yes,
DIP,Melbourne Polytechnic,,Diploma of Information Technology,Computer Science & Information Technology,15920,,,,1779,7870,12970,AUD,Years,Normal,1,Years,,,Year 12,IELTS,ATAR ,12,5.5,,https://www.melbournepolytechnic.edu.au/study/diploma/information-technology/,English,A,"Take the next step in your IT career .Accelerate your career in information technology with Melbourne Polytechnic’s Diploma of Information Technology. Developed in consultation with industry to teach you general ICT skills, this course helps you turn your passion for innovation and technology into developing a range of practical skills. In the 2019/20 financial year, 53% of employers indicated they intend to increase their permanent IT staff levels and demand for skilled IT professionals is likely to continue growing. Secure your future today with essential ICT problem solving skills that will keep you in demand. .Multiple qualifications from a single course .You’ll learn fundamental skills across a range of IT disciplines. This includes software development, web design, server administration, virtualisation, networking, database design and development, IT project management and systems analysis. Our industry-experienced teachers are passionate and focus on each student’s individual progress. Alongside your diploma, you’ll also gain highly sought after training and hands-on experience with Cisco Certified Network Associate (CCNA) Routing and Switching in our fully functioning Cisco Lab. You’ll also receive Microsoft Technology Associate (MTA) training in Windows Server Administration to maximise your employability.",Database Developer/ Network Administrator/ Programmer/ Systems Developer/ Website Developer/ Network Support/ ICT Support/ Software Developer/ IT Project Manager,Australia,Yes,Yes,,,Yes,
DIP,Melbourne Polytechnic,,Diploma of Information Technology,Computer Science & Information Technology,,,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/engineering-fabrication-trade/light-fabrication/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate III in Jewellery Manufacture,Creative Arts & Design & Music,,,,,1495,6850,21850,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/jewellery-manufacture/apprenticeship/,English,A,"This is the apprenticeship version of the course. For the non-apprenticeship, please go here. .Elevate your jewellery skills .Take your creative design skills to work with Melbourne Polytechnic’s MEM30619 Certificate III in Jewellery Manufacture (Apprenticeship stream). Equipped with industry-standard technical skills and expertise in the field, this apprenticeship will prepare you with the fundamentals of the jewellery trade from the manufacturing of the ring to the setting of the stone. The Australian jewellery manufacturing trade is a $2 billion industry amidst a rising demand for local, custom jewellery. At Melbourne Polytechnic, you’ll receive hands-on invaluable experience in a wide range of jewellery techniques, granting you advanced skills for work in a professional manufacturing environment.  .Precious industry experience and refined skills .You’ll receive highly regarded training from an array of experienced trade professionals within the jewellery industry. Qualified industry leaders will guide you throughout your apprenticeship, covering specialist skills through to workplace health and safety regulations. You’ll learn an assortment of skills including surface embellishment techniques, coronet and claw settings and ring remodelling. Melbourne Polytechnic’s extensive industry connections will provide your apprenticeship a distinct credibility, through our partnerships with the Gold and Silversmiths Guild of Australia and the Jewellers Association of Australia (JAA).",Jeweller/ Watchmaker/ Assistant Jeweller/ Jewellery Repairer,Australia,Yes,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Jewellery Manufacture,Creative Arts & Design & Music,495,495,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/lea-licensed-electrician-practical-tutorial/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate III in Jewellery Manufacture,Creative Arts & Design & Music,,,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/training-volunteer-tutors/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate III in Jewellery Manufacture,Creative Arts & Design & Music,1650,1650,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/fumigation/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate II in Landscaping,Creative Arts & Design & Music,,,,,600,2075,4175,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-ii/landscaping/,English,A,"Cultivate your career in landscaping .If you’re passionate about horticulture, plants and gardening, then Melbourne Polytechnic’s Certificate II in Landscaping is the perfect fit for you. Landscapers shape and reimagine urban and residential spaces, and Australia is one of the landscaping capitals of the world, with the industry generating more than $6 billion a year. Designed as a pre-apprenticeship program, this course will teach you valuable skills and industry knowledge to launch you into an exciting horticultural landscape apprenticeship and career. .Grow with industry-experienced teachers .The Certificate II in Landscaping is taught by qualified, industry-based teachers and will provide you with the knowledge you need to enter the industry. Melbourne Polytechnic have designed the course in line with Landscaping Victoria, a professional body promoting best practice and industry standards. Our experienced staff will teach you the wide range of skills required for landscaping, from plant recognition and creating plants designs to building retaining walls and laying paving.",Community Landscape Officer/ Community Facility Groundskeeper/ Groundsperson/ Landscape Gardener/ Landscaping Business Operator/ Landscaping Business Owner,Australia,Yes,Yes,,,Yes,
VOC,Melbourne Polytechnic,,Certificate IV in Alcohol and Other Drugs,Science and Health Science,,,250,250,895,3850,10900,AUD,Years,Normal,18,Years,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iv/alcohol-and-other-drugs/,English,A,"Provide valuable care and intervention .Drug and alcohol workers provide support to those struggling with substance abuse. 130,000 people received treatment for alcohol and other drug abuse in 2017-18, and there is a demand for compassionate people with the skills required to provide quality care and support. If you would like to work in a withdrawal service, residential rehabilitation or an outreach service, Melbourne Polytechnic’s Certificate IV in Alcohol and Other Drugs is the course for you. .Learn to deliver specialised help .Melbourne Polytechnic’s Certificate IV in Alcohol and Other Drugs is ideal for entry level community support workers who provide services and interventions to clients with alcohol and other drugs issues, and implement health promotion and community interventions. You will learn practical skills in contexts such as community-based organisations, withdrawal services, residential rehabilitation services and outreach services under the guidance of other practitioners and professionals who will supervise and support your learning.",Case Worker/ Community Support Worker/ Drug and Alcohol Worker/ Family Support Worker,Australia,Yes,,,,Yes,
VOC,Melbourne Polytechnic,,Certificate II in Auslan,,,,,,335,1050,7550,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-ii/auslan/,English,A,"An introduction to Auslan .Auslan is Australian sign language, a language developed for and by Australians who are Deaf or hard of hearing. With hearing loss on the rise in the Australian population, the demand for Auslan skills is on the rise, both professionally and socially. Melbourne Polytechnic’s Certificate II in Auslan is the beginning of the the only accredited pathway to learn Auslan in Victoria. This course is a prerequisite to Auslan interpreter training, but is also appropriate for friends, colleagues and family members of Deaf and hard of hearing people who would like to increase their accessibility and communication abilities.  .Make connections within the Deaf community .This course serves as your introduction to Auslan. You will learn basic signs and simple ways to communicate. You will also learn about the history and culture of the Australian Deaf community and its context within international Deaf communities. Melbourne Polytechnic has a long history within the disability sector, and as Victoria’s sole provider of this accredited pathway to learning Auslan, you will have opportunities to participate in Deaf community-based activities and events with our industry partners.",,Australia,,,,,Yes,
SHORT COURSES,Melbourne Polytechnic,,Course in Introduction To The National Disability Insurance Scheme,Computer Science & Information Technology,,,,,175,250,685,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/course/introduction-to-the-national-disability-insurance-scheme/,English,A,"Get to know the NDIS .Around 4.3 million Australians live with a disability. The National Disability Insurance Scheme (NDIS) provides funding for support and services for about 460,000 Australians. Melbourne Polytechnic’s Course in Introduction to the National Disability Insurance Scheme is a short course for people who need an introduction to the NDIS and introductory understanding of working with an NDIS participant. It is suitable for those who want to start a career as a disability support worker, are an existing disability sector worker and would like to learn more about the NDIS, have healthcare qualifications and work with people accessing the NDIS, or have an interest in the NDIS. .Learn first-hand skills with NDIS participants .Melbourne Polytechnic’s Course in Introduction to the National Disability Insurance Scheme will teach you how to support an NDIS participant to achieve stated goals, how to use a human rights framework to ensure NDIS participant personal safety, working safely, completing and processing documentation, and working effectively with others. The course will involve NDIS participants and/or people with a lived experience of disability so you have first-hand experience with the system and the people it serves. Your learning will be supported by industry-experienced practitioners. Melbourne Polytechnic has a significant history in delivering accredited education for the disability sector, working with industry bodies to ensure that all courses are current and representative.",Disability Support Worker,Australia,,Yes,,,,
DIP,Melbourne Polytechnic,,Diploma of Human Resources Management,Tourism and Hotel Management,,,,,1095,4850,6200,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/diploma/human-resources-management/,English,A,"A lucrative job in a growing industry .Human resource management is a lucrative career in a growing industry, with an expected 48,000 job openings across Australia in the next five years. Melbourne Polytechnic’s Diploma of Human Resources Management addresses current business needs in human resources management, learning and development and employment services. This course is perfect for students with little or no vocational experience, but sound theoretical business skills and knowledge. .Learn from industry experts .Melbourne Polytechnic’s Diploma of Human Resources Management will give you current skills and knowledge in this constantly changing field. Taught by industry-based experts with extensive contemporary experience and skills, you’ll be an asset to any employer. Learn the fundamentals of human resources management through hands-on, practical classes. Core industry knowledge and new skills will broaden your career path, getting you ahead today and into the future. Plus, Melbourne Polytechnic’s pathway arrangements with La Trobe University means that students that meet requirements may be able to move into tertiary business courses.",Human Resources Advisor/ Human Resources Consultant/ Human Resources Manager/ Change Manager/ Human Resources Officer,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Hairdressing,Computer Science & Information Technology,,,,,1295,5850,15400,AUD,Years,Normal,15,Years,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/hairdressing/apprenticeship/,English,A,"This course is also available as a non-apprenticeship course. For more information please go here. .Learn a cutting edge trade .With a carefully curated apprenticeship dedicated to teaching you advanced hairstyling techniques, Melbourne Polytechnic’s Certificate III in Hairdressing (Apprenticeship stream) will teach you the skills you’ll need for a fruitful career in hairdressing. With an expected 31,000 job openings across the hairdressing industry in the next five years, it’s a great time to pick up the scissors. .On the job training and specialist skills .As part of Melbourne Polytechnic’s Certificate III in Hairdressing (Apprenticeship stream) you’ll receive valuable training from an array of experienced trade professionals on-campus and at your workplace. With qualified industry leaders guiding you throughout your apprenticeship, our course will help you hone your salon techniques to apply on the job. You’ll learn all of the necessary skills, including cut and colour, chemical straightening, hair design, client consultation and financial transactions. Our purpose-built fully-equipped training salon is open five days a week for additional real-world training that’s still on campus. Melbourne Polytechnic offers hairdressing students the unique opportunities to take part in training workshops with industry experts, enter industry-accredited hair competitions and exhibit your skills in an end-of-year student showcase.",Salon Assistant/ Hairdresser/ Hairstylist/ Performance Industry Stylist,Australia,,Yes,,,,
SHORT COURSES,Melbourne Polytechnic,,Course in Initial Adult Literacy and Numeracy,Humanities and Social Science,,,,,315,950,5700,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/course/initial-adult-literacy-and-numeracy/,English,A,"Improve your literacy and numeracy .If you are a person with an intellectual disability, autism or cognitive impairment and want to improve your literacy, numeracy and communication skills, 22554VIC Course in Initial Adult Literacy and Numeracy is for you. With changes in technology, literacy is more important than ever for job opportunities and socialising. This qualification will improve your skills in reading, writing, numeracy, listening and oral communication based on your needs and interests. Your self-esteem and confidence will grow as your interpersonal skills improve, and you’ll find independence and active participation in the community much easier. .Personalised learning made fun .Melbourne Polytechnic has decades of experience teaching literacy and numeracy skills, including active participation on the re-accreditation committee to ensure that your course is completely up-to-date. Your teacher will work with you to develop an individual learning program based on your needs.  Plus, we make learning fun by including social activities and opportunities to practice your skills in the community. The course includes pathway planning, documenting your strengths and preparing an action plan for you to follow once the course is complete. At Melbourne Polytechnic, we limit class sizes to ten students to ensure you receive individual attention.  As a Melbourne Polytechnic student you will have access to our libraries and learning services including computer labs and sporting facilities.",Retail Assistant/ Nursery Retail Salesperson/ Cafe Assistant,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate I in Initial Adult Literacy and Numeracy,Humanities and Social Science,,,,,375,1250,8400,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-i/initial-adult-literacy-and-numeracy/,English,A,"Increase your confidence .Our 22555VIC Certificate I in Initial Adult Literacy and Numeracy will develop your literacy, numeracy and communication skills in preparation for the workplace. With changes in technology, literacy is more important than ever for job opportunities and socialising. You will learn to write simple sentences, communicate through conversation and develop basic numeracy skills using money, time, and measurement through hands-on activities. Your self-esteem and confidence will grow as your interpersonal skills improve. .Personalised learning from experienced teachers .Melbourne Polytechnic has decades of experience teaching literacy and numeracy skills, including active participation on the re-accreditation committee to ensure that your course is completely up-to-date. Your friendly teacher will work with you to develop an individualised program from beginning to end. Your learning will focus on the needs and opportunities that are relevant to you. Completing the course includes pathway planning, documenting your strengths and pathways and preparing an action plan for you to follow once the course is complete. At Melbourne Polytechnic, we limit class sizes to ten students to ensure you receive individual attention. As a Melbourne Polytechnic student you will have access to our libraries and learning services including computer labs, libraries and sporting facilities.",,Australia,,Yes,,,,
BA,Melbourne Polytechnic,,Bachelor of Hospitality Management,Tourism and Hotel Management,,10200,,,,,,AUD,Years,Normal,3,Years,Yes,,Year 12,IELTS,ATAR ,12,6,,https://www.melbournepolytechnic.edu.au/study/bachelor/hospitality-management/,English,A,"Pursue higher studies in hospitality leadership .The global hospitality industry needs managers with strong practical skills, hands-on experience and strategic management capability. In Australia alone, the industry has grown rapidly in the past five years, fuelled by the country’s growing ‘foodie’ culture, rising popularity in hospitality business ownership and a skyrocketing population. Australia’s hospitality sector employs almost 1 million people and continues to grow. Consumer needs are becoming more complex and hospitality businesses need qualified and skilled hospitality staff to meet customer expectations. Whether you would like to work for an established accommodation or food services provider, or wish to start your own hospitality business, Melbourne Polytechnic’s Bachelor of Hospitality Management is designed to teach you the skills you need to take the lead in this booming industry. .Learn to lead from industry leaders .Melbourne Polytechnic’s Bachelor of Hospitality Management will equip you with the skills and qualifications to take on a leadership role in a range of hospitality sectors. You will gain hands-on experience in restaurant management and operations by training in real-life restaurant and bar environments, including our commercial kitchens that have been used on MasterChef and The Great Australian Bake-Off. Our onsite commercial working restaurant, St Georges, as well as our fully-equipped training bar and conference facilities will provide you with the practical experience needed to succeed in this industry. You will use industry-relevant software programs, learn the latest trends in hospitality and business and run live events in collaboration with our industry partners. We have arranged partnerships with many local industry partners to secure work-integrated learning placements, including small and medium-sized businesses and community organisations. As a Melbourne Polytechnic student, you will be fully supported and guided by our experienced lecturers. We have student exchange agreements with a number of international institutions, offering domestic Melbourne Polytechnic students the chance to study in another country for six months.",Food and Beverage Attendant/ Bar Attendant/ Event Assistant/ Event Operations Assistant/ Wine Retailer/ Event Manager/ Restaurant Manager/ Function Centre Manager/ Winery Supervisor/ Reception Centre Manager/ Food and Beverage Manager/ Hotel Manager/ Motel Manager,Australia,Yes,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Individual Support,,,,250,250,665,2700,7950,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/individual-support/disability/,English,A,"A career with meaning .Disability workers play a significant role in Australian society, working in a field that cares for and gives dignity and meaning to the lives of people with disability.  There is growth in demand to support children; people with autism; provide therapy assistance, in-home & personal care and community-based support and NDIS services.  .People with empathy, patience, a professional attitude and a drive to improve lives are in high demand. Graduates from our CHC33015 Certificate III in Individual Support (Disability) can expect strong career prospects in this consistently growing sector. .Learn vocational skills .CHC33015  Certificate III in Individual Support (Disability) is designed to provide quality training in individual support across the disability and NDIS sector with a program delivered by highly experienced staff in hands-on settings. You will also develop the professional and personal qualities required to provide high quality care to those who need it most. Melbourne Polytechnic provides fully-equipped practical learning spaces, including a state-of-the-art simulation room. .Our industry connections mean that you will also receive practical experience with a supervised industry placement, so you’re ready to enter the industry with confidence.",Home and community care worker/ Disability Support Worker/ Individual support worker,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Music Industry,Computer Science & Information Technology,,,,,845,3600,8300,AUD,Years,Normal,6,Months,Yes,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iv/music-industry/sound-production/,English,A,"Get a head start in the world of sound .Melbourne is the music capital of Australia and one of the greatest music cities in the world, with more live music venues per person than New York, Paris, Berlin or Tokyo. The music industry generates $25 million per year in Melbourne alone and there’s no better place to learn the ins and outs of the music production industry. Melbourne Polytechnic’s Certificate IV in Music Industry (Sound Production) will help you develop fundamental sound production skills in both studio and live production environments, with a focus on music production. .Purpose Built Facilities and Industry Connected Trainers .The Certificate IV in Music Industry (Sound Production) is designed as a hands-on course and students will learn at an industry standard. Train in Melbourne Polytechnic’s purpose-built, fully-equipped sound studios and real Melbourne performance venues. You’ll work with analogue studio equipment and digital audio workstations (DAWs) like Abelton and Pro Tools to prepare a professional portfolio of work to support your entry into the music industry. This course focuses on collaboration and entrepreneurship, with creative integrated projects fostering connections between students and networking for your future career. All of your teachers are active musicians with years of musical experience to help you amplify your musical skill set. Melbourne Polytechnic’s musical alumni include the founding members of ARIA-award winning band Augie March, Stonefield and rock and roll DJ icon Stan Rofe.",Front of House Operator/ Post-Production Engineer for Digital Media/ Post-Production Film Engineer/ Post-Production Television Sound Engineer/ Sound Editor/ Monitor Operator/ Studio Engineer,Australia,,Yes,,,,
